UrugalYigAgiyo Uru(N8)+galYu_#_PUR+lYigAgiyo_lYu_PRES
UrugalYigAgiye Uru(N8)+galYu_#_PUR+lYigAgiye_lYu_IMPH
UrugalYigAgiye Uru(N8)+galYu_#_PUR+lYigAgiye_lYu_DECL
UrugalYigAgiye Uru(N8)+galYu_#_PUR+lYigAgiye_lYu_RIS
UrugalYigosugavA Uru(N8)+galYu_#_BEN+lYigosugavA_lYu_INTR
UrugalYigosugavU Uru(N8)+galYu_#_BEN+lYigosugavU_lYu_INCL
UrugalYigosugavo Uru(N8)+galYu_#_BEN+lYigosugavo_lYu_DUB
UrugalYigosugavo Uru(N8)+galYu_#_BEN+lYigosugavo_lYu_INDF
UrugalYigosugavo Uru(N8)+galYu_#_BEN+lYigosugavo_lYu_PRES
UrugalYigosugave Uru(N8)+galYu_#_BEN+lYigosugave_lYu_IMPH
UrugalYigosugave Uru(N8)+galYu_#_BEN+lYigosugave_lYu_DECL
UrugalYigosugave Uru(N8)+galYu_#_BEN+lYigosugave_lYu_RIS
UrugalYigosugavA Uru(N8)+galYu_#_PUR+lYigosugavA_lYu_INTR
UrugalYigosugavU Uru(N8)+galYu_#_PUR+lYigosugavU_lYu_INCL
UrugalYigosugavo Uru(N8)+galYu_#_PUR+lYigosugavo_lYu_DUB
UrugalYigosugavo Uru(N8)+galYu_#_PUR+lYigosugavo_lYu_INDF
UrugalYigosugavo Uru(N8)+galYu_#_PUR+lYigosugavo_lYu_PRES
UrugalYigosugave Uru(N8)+galYu_#_PUR+lYigosugave_lYu_IMPH
UrugalYigosugave Uru(N8)+galYu_#_PUR+lYigosugave_lYu_DECL
UrugalYigosugave Uru(N8)+galYu_#_PUR+lYigosugave_lYu_RIS
UrugalYigiMwalA Uru(N8)+galYu_#_COMP+lYigiMwalA_lYu_INTR
UrugalYigiMwalU Uru(N8)+galYu_#_COMP+lYigiMwalU_lYu_INCL
UrugalYigiMwalo Uru(N8)+galYu_#_COMP+lYigiMwalo_lYu_DUB
UrugalYigiMwalo Uru(N8)+galYu_#_COMP+lYigiMwalo_lYu_INDF
UrugalYigiMwalo Uru(N8)+galYu_#_COMP+lYigiMwalo_lYu_PRES
UrugalYigiMwale Uru(N8)+galYu_#_COMP+lYigiMwale_lYu_IMPH
UrugalYigiMwale Uru(N8)+galYu_#_COMP+lYigiMwale_lYu_DECL
UrugalYigiMwale Uru(N8)+galYu_#_COMP+lYigiMwale_lYu_RIS
UrugalYaMweVyA Uru(N8)+galYu_#_SIM+lYaMweVyA_lYu_INTR
UrugalYaMweVyU Uru(N8)+galYu_#_SIM+lYaMweVyU_lYu_INCL
UrugalYaMweVyo Uru(N8)+galYu_#_SIM+lYaMweVyo_lYu_DUB
UrugalYaMweVyo Uru(N8)+galYu_#_SIM+lYaMweVyo_lYu_INDF
UrugalYaMweVyo Uru(N8)+galYu_#_SIM+lYaMweVyo_lYu_PRES
UrugalYaMweVye Uru(N8)+galYu_#_SIM+lYaMweVye_lYu_IMPH
UrugalYaMweVye Uru(N8)+galYu_#_SIM+lYaMweVye_lYu_DECL
UrugalYaMweVye Uru(N8)+galYu_#_SIM+lYaMweVye_lYu_RIS
UrugalYoVdaneVyA Uru(N8)+galYu_#_SOC+lYoVdaneVyA_lYu_INTR
UrugalYoVdaneVyU Uru(N8)+galYu_#_SOC+lYoVdaneVyU_lYu_INCL
UrugalYoVdaneVyo Uru(N8)+galYu_#_SOC+lYoVdaneVyo_lYu_DUB
